Date,Description,Category Select,Category,Subcategory,Amount EUR,Amount USD,Account,Notes,Timestamp,Year,🔐 Softr Record ID
1/1/2024,lunch on Patcherkofel,Dining → Restaurants,Dining,Restaurants,€157.80,,,,2024-09-13T14:45:02.870Z,2024,LMxEkCj67BEmKLgZdejMCf
1/2/2024,food,Shopping → Groceries,Shopping,Groceries,€7.00,,,,2024-09-13T13:49:27.679Z,2024,SyNwWeG3VABc2fPrg5RSXg
1/2/2024,lunch Mittenwald,Dining → Restaurants,Dining,Restaurants,€75.00,,,,,2024,J6MAgYWbS3L7TNmuS5QiJz
1/2/2024,coffee,Dining → Coffee Shops,Dining,Coffee Shops,€8.00,,,,,2024,rWii84SayzWww49U41fMX
1/2/2024,gas ,Automotive → Fuel,Automotive,Fuel,€70.03,,,,,2024,6gh1xgfE5WyWNueWyWZU5p
1/2/2024,Lenoardo Hotel Munich,Vacation → Accommodations,Vacation,Accommodations,€116.70,,Citizens,,,2024,76pPZFcRyp7bBheEetJyoJ
1/2/2024,Mittenwald souvenirs,Vacation → Other,Vacation,Other,€8.00,,,,,2024,TtWgpKb6BSVdQ7FLXLTTCQ
1/2/2024,lunch december,Dining → Restaurants,Dining,Restaurants,€28.40,,,,,2024,R7XmQsP27ZzxXu9GkC6vav
1/3/2024,Lenoardo Hotel Munich,Vacation → Accommodations,Vacation,Accommodations,€197.50,,Citizens,,,2024,QaS5Bb7GDMtDq5t2wSrHp6
1/3/2024,Munich MHD,Vacation → Other,Vacation,Other,€17.40,,,,,2024,LqfEzbWmqmT4EYFRkXxGrZ
1/3/2024,Bolt munich,Vacation → Other,Vacation,Other,€30.60,,,,,2024,AKoir9oQ9ZeyRY9MBuvMXJ
1/4/2024,McDonalds,Dining → Restaurants,Dining,Restaurants,€35.70,,,,,2024,2WmuT9kzkpwMiwo78No4fw
1/4/2024,gas station food,Automotive → Fuel,Automotive,Fuel,€83.00,,,,,2024,GZMgS5UA9HrYpvK3ZYcaGS
1/4/2024,snacks,Shopping → Groceries,Shopping,Groceries,€10.00,,,,,2024,AYNGEZ9nXCftezU8s4diQX
1/4/2024,Deutsches Museum Munich,Sports & Leisure → Museums & Galleries,Sports & Leisure,Museums & Galleries,€31.00,,,,,2024,H3rXYYFJtTX9LK6qhsbpnr
1/4/2024,Lego shop Munich,Shopping → Gifts,Shopping,Gifts,€18.00,,,,,2024,4AbgFmJ3tqA9a6rmSeAMGG
1/5/2024,food,Shopping → Groceries,Shopping,Groceries,€54.53,,,,,2024,6dPbdq1QfUxHek8Lx9oeow
1/5/2024,Test,Other,Other,,,"$1,000.00",,,2024-09-13T14:34:33.907Z,,SNLA8UexiVSrFH9NbQ9t5n
1/8/2024,food,Shopping → Groceries,Shopping,Groceries,€10.05,,,,,2024,4vLmb93vhW7GrvaUTd3iBN
1/8/2024,calendar,Shopping → Office Supplies,Shopping,Office Supplies,€5.60,,,,,2024,LTwG5RFiGAVqkrkUwAW3E3
1/8/2024,calendar,Shopping → Office Supplies,Shopping,Office Supplies,€9.50,,,,,2024,DBBZQ3q9rd3FLTTTwM8vCV
1/8/2024,držiak do auta,Shopping → Office Supplies,Shopping,Office Supplies,€10.00,,,,,2024,5B1AfWyU2D39ZSJLi4ssos
1/8/2024,Nay stuff for home,Home & Garden → Home Repairs & Maintenance,Home & Garden,Home Repairs & Maintenance,€9.20,,,,,2024,9vNXry4PWoRfxZtjjnzq89
1/8/2024,iphone cover,Shopping → Office Supplies,Shopping,Office Supplies,€8.00,,,,,2024,HJ5S9rPDkPeAx8nYni7s9q
1/8/2024,BB backpack,Shopping → BB,Shopping,BB,€9.29,,,,,2024,5nzrte3yzdHdMrKRNr963S
