date,description,category_name,subcategory_name,amount_eur,amount_usd,account_name,notes,user_id,created_at
2023-12-31,lunch on Patcherkofel,Dining,Restaurants,157.8,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,food,Shopping,Groceries,7,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,lunch Mittenwald,Dining,Restaurants,75,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,coffee,Dining,Coffee Shops,8,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,"gas ",Automotive,Fuel,70.03,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,Lenoardo Hotel Munich,Vacation,Accommodations,116.7,,Citizens,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,Mittenwald souvenirs,Vacation,Other,8,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-01,lunch december,Dining,Restaurants,28.4,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-02,Lenoardo Hotel Munich,Vacation,Accommodations,197.5,,Citizens,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-02,Munich MHD,Vacation,Other,17.4,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-02,Bolt munich,Vacation,Other,30.6,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-03,McDonalds,Dining,Restaurants,35.7,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-03,gas station food,Automotive,Fuel,83,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-03,snacks,Shopping,Groceries,10,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-03,Deutsches Museum Munich,Sports & Leisure,Museums & Galleries,31,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-03,Lego shop Munich,Shopping,Gifts,18,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-04,food,Shopping,Groceries,54.53,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-04,Test,Other,,,1,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,food,Shopping,Groceries,10.05,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,calendar,Shopping,Office Supplies,5.6,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,calendar,Shopping,Office Supplies,9.5,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,držiak do auta,Shopping,Office Supplies,10,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,Nay stuff for home,Home & Garden,Home Repairs & Maintenance,9.2,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,iphone cover,Shopping,Office Supplies,8,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-07,BB backpack,Shopping,BB,9.29,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
2024-01-08,"olive oil, wine",Shopping,Groceries,67.8,,,,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
